date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2017-09-20,1,5.7,588.0,13.35,0.0
2017-09-21,2,4.5,547.595,11.851029995663982,0.0
2017-09-22,3,4.5,577.39,12.027121254719663,214.234413955871
2017-09-23,1,4.5,525.67,11.55,0.0
2017-09-24,1,4.5,499.86,11.55,0.0
2017-09-25,1,4.6,539.99,11.7,0.0
2017-09-26,3,5.4,556.7333333333333,13.015184488590846,261.8214595906243
2017-09-27,1,4.5,565.85,11.55,0.0
2017-09-28,1,5.4,456.57,12.900000000000002,0.0
2017-09-29,0,,,,
2017-09-30,1,4.7,487.24,11.85,0.0
2017-10-01,1,4.5,571.78,11.55,0.0
2017-10-02,2,4.8,614.245,12.131879480002064,0.0
2017-10-03,1,4.5,515.92,11.55,0.0
2017-10-04,1,4.7,464.66,11.85,0.0
2017-10-05,1,4.6,546.63,11.7,0.0
2017-10-06,0,,,,
2017-10-07,1,4.7,616.3,11.85,0.0
2017-10-08,0,,,,
2017-10-09,0,,,,
2017-10-10,2,4.5,473.415,11.851029995663982,0.0
2017-10-11,0,,,,
2017-10-12,1,4.6,496.12,11.7,0.0
2017-10-13,2,4.6,395.095,11.932474080687586,0.0
2017-10-14,1,4.9,544.1,12.15,0.0
2017-10-15,0,,,,
2017-10-16,4,4.7,536.75,12.28302061017408,106.56965318426172
2017-10-17,1,4.6,535.75,11.7,0.0
2017-10-18,1,4.7,555.13,11.85,0.0
2017-10-19,1,4.5,513.77,11.55,0.0
2017-10-20,1,4.6,582.93,11.7,0.0
2017-10-21,0,,,,
2017-10-22,0,,,,
2017-10-23,2,4.6,554.88,11.932474080687586,0.0
2017-10-24,1,6.7,553.81,14.85,0.0
2017-10-25,0,,,,
2017-10-26,0,,,,
2017-10-27,1,4.5,534.21,11.55,0.0
2017-10-28,1,4.8,615.3,12.0,0.0
2017-10-29,0,,,,
2017-10-30,0,,,,
2017-10-31,1,4.5,520.27,11.55,0.0
2017-11-01,1,4.5,432.65,11.55,0.0
